12/01,10:00,1,0,1
12/01,10:30,1,0,1
12/01,11:00,1,0,1
12/01,11:30,1,0,1
12/01,12:00,1,0,1
12/01,12:30,1,0,1
12/01,13:00,1,0,1
12/01,13:30,1,0,1
12/01,14:00,1,0,1
12/01,14:30,1,0,1
12/01,15:00,1,0,1
12/01,15:30,1,0,1
12/01,16:00,1,0,1
12/01,16:30,1,0,1
12/01,17:00,1,0,1
12/01,17:30,1,0,1
12/02,10:00,1,0,1
12/02,10:30,1,0,1
12/02,11:00,1,0,1
12/02,11:30,1,0,1
12/02,12:00,1,0,1
12/02,12:30,1,0,1
12/02,13:00,1,0,1
12/02,13:30,1,0,1
12/02,14:00,1,0,1
12/02,14:30,1,0,1
12/02,15:00,1,0,1
12/02,15:30,1,0,1
12/02,16:00,1,0,1
12/02,16:30,1,0,1
12/02,17:00,1,0,1
12/02,17:30,1,0,1
12/03,10:00,1,0,1
12/03,10:30,1,0,1
12/03,11:00,1,0,1
12/03,11:30,1,0,1
12/03,12:00,1,0,1
12/03,12:30,1,0,1
12/03,13:00,1,0,1
12/03,13:30,1,0,1
12/03,14:00,1,0,1
12/03,14:30,1,0,1
12/03,15:00,1,0,1
12/03,15:30,1,0,1
12/03,16:00,1,0,1
12/03,16:30,1,0,1
12/03,17:00,1,0,1
12/03,17:30,1,0,1
12/04,10:00,1,0,1
12/04,10:30,1,0,1
12/04,11:00,1,0,1
12/04,11:30,1,0,1
12/04,12:00,1,0,1
12/04,12:30,1,0,1
12/04,13:00,1,0,1
12/04,13:30,1,0,1
12/04,14:00,1,0,1
12/04,14:30,1,0,1
12/04,15:00,1,0,1
12/04,15:30,1,0,1
12/04,16:00,1,0,1
12/04,16:30,1,0,1
12/04,17:00,1,0,1
12/04,17:30,1,0,1
12/05,10:00,1,0,1
12/05,10:30,1,0,1
12/05,11:00,1,0,1
12/05,11:30,1,0,1
12/05,12:00,1,0,1
12/05,12:30,1,0,1
12/05,13:00,1,0,1
12/05,13:30,1,0,1
12/05,14:00,1,0,1
12/05,14:30,1,0,1
12/05,15:00,1,0,1
12/05,15:30,1,0,1
12/05,16:00,1,0,1
12/05,16:30,1,0,1
12/05,17:00,1,0,1
12/05,17:30,1,0,1
12/06,10:00,1,0,1
12/06,10:30,1,0,1
12/06,11:00,1,0,1
12/06,11:30,1,0,1
12/06,12:00,1,0,1
12/06,12:30,1,0,1
12/06,13:00,1,0,1
12/06,13:30,1,0,1
12/06,14:00,1,0,1
12/06,14:30,1,0,1
12/06,15:00,1,0,1
12/06,15:30,1,0,1
12/06,16:00,1,0,1
12/06,16:30,1,0,1
12/06,17:00,1,0,1
12/06,17:30,1,0,1
12/07,10:00,1,0,1
12/07,10:30,1,0,1
12/07,11:00,1,0,1
12/07,11:30,1,0,1
12/07,12:00,1,0,1
12/07,12:30,1,0,1
12/07,13:00,1,0,1
12/07,13:30,1,0,1
12/07,14:00,1,0,1
12/07,14:30,1,0,1
12/07,15:00,1,0,1
12/07,15:30,1,0,1
12/07,16:00,1,0,1
12/07,16:30,1,0,1
12/07,17:00,1,0,1
12/07,17:30,1,0,1
12/08,10:00,1,0,1
12/08,10:30,1,0,1
12/08,11:00,1,0,1
12/08,11:30,1,0,1
12/08,12:00,1,0,1
12/08,12:30,1,0,1
12/08,13:00,1,0,1
12/08,13:30,1,0,1
12/08,14:00,1,0,1
12/08,14:30,1,0,1
12/08,15:00,1,0,1
12/08,15:30,1,0,1
12/08,16:00,1,0,1
12/08,16:30,1,0,1
12/08,17:00,1,0,1
12/08,17:30,1,0,1
12/09,10:00,1,0,1
12/09,10:30,1,0,1
12/09,11:00,1,0,1
12/09,11:30,1,0,1
12/09,12:00,1,0,1
12/09,12:30,1,0,1
12/09,13:00,1,0,1
12/09,13:30,1,0,1
12/09,14:00,1,0,1
12/09,14:30,1,0,1
12/09,15:00,1,0,1
12/09,15:30,1,0,1
12/09,16:00,1,0,1
12/09,16:30,1,0,1
12/09,17:00,1,0,1
12/09,17:30,1,0,1
12/10,10:00,1,0,1
12/10,10:30,1,0,1
12/10,11:00,1,0,1
12/10,11:30,1,0,1
12/10,12:00,1,0,1
12/10,12:30,1,0,1
12/10,13:00,1,0,1
12/10,13:30,1,0,1
12/10,14:00,1,0,1
12/10,14:30,1,0,1
12/10,15:00,1,0,1
12/10,15:30,1,0,1
12/10,16:00,1,0,1
12/10,16:30,1,0,1
12/10,17:00,1,0,1
12/10,17:30,1,0,1
12/11,10:00,1,0,1
12/11,10:30,1,0,1
12/11,11:00,1,0,1
12/11,11:30,1,0,1
12/11,12:00,1,0,1
12/11,12:30,1,0,1
