Stylist A,2024-12-01,10:00,○
Stylist A,2024-12-01,10:30,×
Stylist A,2024-12-01,11:00,○
Stylist A,2024-12-01,11:30,×
Stylist A,2024-12-01,12:00,×
Stylist A,2024-12-01,12:30,×
Stylist A,2024-12-01,13:00,○
Stylist A,2024-12-01,13:30,×
Stylist A,2024-12-01,14:00,○
Stylist A,2024-12-01,14:30,○
Stylist A,2024-12-01,15:00,×
Stylist A,2024-12-01,15:30,×
Stylist A,2024-12-01,16:00,×
Stylist A,2024-12-01,16:30,○
Stylist B,2024-12-01,10:00,×
Stylist B,2024-12-01,10:30,○
Stylist B,2024-12-01,11:00,×
Stylist B,2024-12-01,11:30,○
Stylist B,2024-12-01,12:00,○
Stylist B,2024-12-01,12:30,○
Stylist B,2024-12-01,13:00,×
Stylist B,2024-12-01,13:30,×
Stylist B,2024-12-01,14:00,×
Stylist B,2024-12-01,14:30,×
Stylist B,2024-12-01,15:00,×
Stylist B,2024-12-01,15:30,○
Stylist B,2024-12-01,16:00,×
Stylist B,2024-12-01,16:30,×
Stylist C,2024-12-01,10:00,○
Stylist C,2024-12-01,10:30,○
Stylist C,2024-12-01,11:00,○
Stylist C,2024-12-01,11:30,○
Stylist C,2024-12-01,12:00,×
Stylist C,2024-12-01,12:30,○
Stylist C,2024-12-01,13:00,×
Stylist C,2024-12-01,13:30,○
Stylist C,2024-12-01,14:00,○
Stylist C,2024-12-01,14:30,×
Stylist C,2024-12-01,15:00,×
Stylist C,2024-12-01,15:30,○
Stylist C,2024-12-01,16:00,×
Stylist C,2024-12-01,16:30,×
Stylist A,2024-12-02,10:00,×
Stylist A,2024-12-02,10:30,○
Stylist A,2024-12-02,11:00,×
Stylist A,2024-12-02,11:30,○
Stylist A,2024-12-02,12:00,○
Stylist A,2024-12-02,12:30,×
Stylist A,2024-12-02,13:00,○
Stylist A,2024-12-02,13:30,○
Stylist A,2024-12-02,14:00,×
Stylist A,2024-12-02,14:30,×
Stylist A,2024-12-02,15:00,×
Stylist A,2024-12-02,15:30,○
Stylist A,2024-12-02,16:00,○
Stylist A,2024-12-02,16:30,○
Stylist B,2024-12-02,10:00,○
Stylist B,2024-12-02,10:30,×
Stylist B,2024-12-02,11:00,×
Stylist B,2024-12-02,11:30,×
Stylist B,2024-12-02,12:00,○
Stylist B,2024-12-02,12:30,×
Stylist B,2024-12-02,13:00,○
Stylist B,2024-12-02,13:30,×
Stylist B,2024-12-02,14:00,×
Stylist B,2024-12-02,14:30,○
Stylist B,2024-12-02,15:00,○
Stylist B,2024-12-02,15:30,○
Stylist B,2024-12-02,16:00,○
Stylist B,2024-12-02,16:30,○
Stylist C,2024-12-02,10:00,○
Stylist C,2024-12-02,10:30,○
Stylist C,2024-12-02,11:00,○
Stylist C,2024-12-02,11:30,×
Stylist C,2024-12-02,12:00,○
Stylist C,2024-12-02,12:30,×
Stylist C,2024-12-02,13:00,○
Stylist C,2024-12-02,13:30,×
Stylist C,2024-12-02,14:00,×
Stylist C,2024-12-02,14:30,○
Stylist C,2024-12-02,15:00,×
Stylist C,2024-12-02,15:30,×
Stylist C,2024-12-02,16:00,○
Stylist C,2024-12-02,16:30,×
Stylist A,2024-12-03,10:00,○
Stylist A,2024-12-03,10:30,○
Stylist A,2024-12-03,11:00,×
Stylist A,2024-12-03,11:30,×
Stylist A,2024-12-03,12:00,○
Stylist A,2024-12-03,12:30,○
Stylist A,2024-12-03,13:00,×
Stylist A,2024-12-03,13:30,×
Stylist A,2024-12-03,14:00,○
Stylist A,2024-12-03,14:30,○
Stylist A,2024-12-03,15:00,○
Stylist A,2024-12-03,15:30,×
Stylist A,2024-12-03,16:00,○
Stylist A,2024-12-03,16:30,○
Stylist B,2024-12-03,10:00,×
Stylist B,2024-12-03,10:30,○
Stylist B,2024-12-03,11:00,×
Stylist B,2024-12-03,11:30,○
Stylist B,2024-12-03,12:00,○
Stylist B,2024-12-03,12:30,○
Stylist B,2024-12-03,13:00,×
Stylist B,2024-12-03,13:30,○
Stylist B,2024-12-03,14:00,×
Stylist B,2024-12-03,14:30,×
Stylist B,2024-12-03,15:00,×
Stylist B,2024-12-03,15:30,×
Stylist B,2024-12-03,16:00,○
Stylist B,2024-12-03,16:30,○
